종목명,현재가,전일비,등락률,NAV,3개월수익률,거래량,거래대금(백만)
TIGER 미국S&P500,"21,800",80,-0.37%,"21,735",+16.61%,"4,589,318","100,118"
KODEX CD금리액티브(합성),"1,074,925",75,+0.01%,"1,074,927",+0.66%,"239,656","257,611"
KODEX 200,"43,690",350,+0.81%,"43,732",+31.45%,"5,357,646","233,763"
KODEX 머니마켓액티브,"103,355",15,+0.01%,"103,357",+0.74%,"463,811","47,935"
TIGER 미국나스닥100,"142,675",425,-0.30%,"142,140",+23.38%,"223,488","31,907"
TIGER CD금리투자KIS(합성),"56,310",5,-0.01%,"56,314",+0.64%,"144,261","8,123"
KODEX 미국S&P500,"20,060",75,-0.37%,"20,003",+16.54%,"3,246,856","65,190"
KODEX KOFR금리액티브(합성),"110,795",5,0.00%,"110,787",+0.66%,"326,161","36,136"
KODEX 종합채권(AA-이상)액티브,"118,670",15,+0.01%,"118,624",-0.67%,"55,195","6,545"
TIGER 미국테크TOP10 INDXX,"25,625",85,-0.33%,"25,587",+31.44%,"1,770,332","45,517"
TIGER 200,"43,655",340,+0.78%,"43,702",+31.56%,"1,542,081","67,239"
KODEX 200TR,"15,570",115,+0.74%,"15,589",+31.64%,"683,288","10,628"
KODEX 미국나스닥100,"21,460",60,-0.28%,"21,375",+23.63%,"1,193,066","25,611"
TIGER KOFR금리액티브(합성),"109,290",10,+0.01%,"109,290",+0.66%,"73,649","8,048"
KODEX 레버리지,"25,335",365,+1.46%,"25,498",+70.44%,"20,031,994","506,200"
TIGER 미국필라델피아반도체나스..,"21,035",25,-0.12%,"20,921",+45.82%,"913,722","19,211"
RISE 머니마켓액티브,"54,450",0,0.00%,"54,449",+0.76%,"369,810","20,135"
KODEX CD1년금리플러스액티브(합..,"1,023,305",55,+0.01%,"1,023,142",+0.67%,"11,139","11,398"
ACE 미국30년국채액티브(H),"7,565",20,+0.27%,"7,532",-2.65%,"1,911,301","14,405"
ACE 미국S&P500,"22,030",80,-0.36%,"21,964",+16.56%,"941,066","20,746"
TIGER 미국배당다우존스,"12,010",75,-0.62%,"11,969",+4.77%,"1,084,712","13,040"
KODEX 코스닥150레버리지,"9,350",30,-0.32%,"9,407",+34.29%,"16,525,558","154,312"
TIGER 머니마켓액티브,"100,785",5,0.00%,"100,782",N/A,"113,526","11,441"
TIGER 25-10 회사채(A+이상)액티..,"55,170",5,-0.01%,"55,179",+0.71%,"99,264","5,476"
ACE 미국나스닥100,"24,530",75,-0.30%,"24,437",+23.57%,"491,830","12,071"
TIGER 차이나전기차SOLACTIVE,"9,860",95,+0.97%,"9,899",+8.92%,"1,309,743","12,886"
KODEX 단기채권PLUS,"115,015",0,0.00%,"115,022",+0.68%,"45,444","5,226"
TIGER MSCI Korea TR,"18,140",190,+1.06%,"18,159",+29.23%,"6,795",123
RISE 종합채권(A-이상)액티브,"110,160",70,+0.06%,"110,179",-0.73%,"2,095",230
RISE 200,"43,975",335,+0.77%,"44,019",+31.52%,"418,091","18,370"
KODEX 200선물인버스2X,"1,294",19,-1.45%,"1,295",-42.91%,"219,552,332","284,820"
PLUS 고배당주,"20,350",155,-0.76%,"20,373",+40.82%,"2,607,720","53,076"
KODEX 삼성그룹,"10,075",15,+0.15%,"10,078",+25.62%,"891,498","8,981"
KODEX 코스닥150,"13,670",35,-0.26%,"13,761",+16.74%,"3,692,330","50,493"
ACE KRX금현물,"21,135",125,+0.59%,"21,128",-2.05%,"1,259,073","26,550"
TIGER 25-12 금융채(AA-이상),"51,405",15,+0.03%,"51,404",+0.75%,"1,252",64
PLUS K방산,"51,525","1,145",+2.27%,"51,545",+40.32%,"1,698,212","87,148"
TIGER 미국30년국채커버드콜액티..,"7,855",20,+0.26%,"7,824",-1.76%,"1,038,019","8,131"
TIGER TOP10,"13,260",95,+0.72%,"13,231",+30.23%,"208,344","2,756"
SOL 조선TOP3플러스,"26,730",985,+3.83%,"26,722",+23.13%,"4,074,099","107,869"
RISE 미국S&P500,"19,000",70,-0.37%,"18,952",+16.64%,"387,797","7,376"
KODEX 2차전지산업,"12,120",410,+3.50%,"12,098",+9.98%,"4,919,862","58,931"
RISE 미국나스닥100,"23,740",75,-0.31%,"23,656",+23.62%,"160,815","3,818"
RISE CD금리액티브(합성),"104,300",0,0.00%,"104,301",+0.64%,"3,136",327
TIGER 차이나항셍테크,"8,555",90,+1.06%,"8,554",+10.21%,"2,298,622","19,674"
RISE 단기특수은행채액티브,"50,110",5,-0.01%,"50,118",N/A,"57,522","2,882"
TIGER 종합채권(AA-이상)액티브,"56,850",10,+0.02%,"56,865",-0.66%,"4,710",267
KODEX 25-12 은행채(AAA)액티브,"103,080",5,0.00%,"103,077",+0.70%,"1,543",159
KIWOOM 200TR,"56,510",410,+0.73%,"56,599",+31.52%,"56,205","3,171"
ACE 테슬라밸류체인액티브,"15,810",470,+3.06%,"15,632",+35.21%,"2,800,845","44,255"
TIGER 미국배당다우존스타겟커버..,"9,650",50,-0.52%,"9,604",+2.15%,"424,108","4,098"
SOL 종합채권(AA-이상)액티브,"115,060",90,+0.08%,"115,068",-0.72%,357,41
TIGER CD1년금리액티브(합성),"1,049,015",85,+0.01%,"1,049,013",+0.66%,"19,596","20,556"
TIGER 2차전지테마,"15,225",455,+3.08%,"15,185",+12.36%,"1,575,168","23,743"
TIGER 단기통안채,"110,885",10,+0.01%,"110,885",+0.65%,"37,020","4,104"
SOL 초단기채권액티브,"53,405",5,-0.01%,"53,408",+0.74%,"292,462","15,619"
ACE 종합채권(AA-이상)KIS액티브,"108,615",65,+0.06%,"108,607",-0.64%,"1,072",116
KODEX Top5PlusTR,"27,230",285,+1.06%,"27,239",+33.59%,"20,186",549
1Q 머니마켓액티브,"52,455",5,+0.01%,"52,452",+0.75%,"54,223","2,844"
TIGER 미국30년국채스트립액티브..,"36,900",170,+0.46%,"36,818",-4.71%,"167,240","6,135"
SOL 미국배당다우존스,"11,020",60,-0.54%,"10,979",+4.68%,"467,015","5,147"
TIGER 미국나스닥100타겟데일리..,"9,975",20,-0.20%,"9,945",+21.99%,"683,134","6,816"
KODEX 미국S&P500(H),"14,475",10,-0.07%,"14,442",+18.09%,"126,667","1,831"
KODEX 25-11 은행채(AA-이상)PLU..,"10,600",0,0.00%,"10,601",+0.74%,"5,588",59
TIGER 단기채권액티브,"55,950",5,+0.01%,"55,946",+0.66%,"28,661","1,603"
PLUS 200,"44,380",330,+0.75%,"44,425",+31.51%,"212,434","9,422"
KODEX 200타겟위클리커버드콜,"11,320",75,+0.67%,"11,331",+27.45%,"1,916,487","21,662"
ACE 미국빅테크TOP7 Plus,"18,870",35,+0.19%,"18,805",+29.85%,"1,042,509","19,704"
KODEX 26-12 회사채(AA-이상)액..,"10,840",0,0.00%,"10,836",+0.79%,"49,809",539
KODEX MSCI Korea TR,"14,390",125,+0.88%,"14,441",+29.21%,"11,395",164
KODEX 반도체,"37,155",155,+0.42%,"37,274",+27.42%,"522,997","19,444"
KODEX 인버스,"3,465",25,-0.72%,"3,466",-23.80%,"26,236,682","91,027"
TIGER 리츠부동산인프라,"4,265",10,+0.24%,"4,267",+2.26%,"1,688,492","7,194"
KODEX 미국빅테크10(H),"52,385",20,+0.04%,"52,160",+32.65%,"75,515","3,948"
TIGER Fn반도체TOP10,"11,985",90,+0.76%,"11,971",+30.13%,"900,752","10,759"
KODEX 미국30년국채타겟커버드콜..,"8,485",30,+0.35%,"8,454",-0.81%,"661,229","5,591"
ACE 미국배당다우존스,"12,155",75,-0.61%,"12,125",+4.65%,"332,225","4,044"
KODEX 미국30년국채액티브(H),"8,790",35,+0.40%,"8,746",-2.23%,"915,284","8,016"
KODEX 국고채30년액티브,"120,870",95,+0.08%,"120,969",-4.73%,"9,169","1,107"
TIMEFOLIO 글로벌AI인공지능액티..,"31,845",340,+1.08%,"31,592",+57.45%,"380,891","12,095"
KODEX 단기채권,"113,690",5,0.00%,"113,687",+0.65%,"9,665","1,098"
KIWOOM 국고채10년,"116,125",95,+0.08%,"116,124",-1.46%,"25,566","2,965"
