N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"67,750",상승 650,+0.97%,100,"4,010,555","5,919,638",50.19,"14,786,938",13.12,9.03
2,SK하이닉스,"272,250","상승 3,250",+1.21%,"5,000","1,981,986","728,002",55.19,"1,840,982",7.63,31.06
3,LG에너지솔루션,"331,500","상승 9,000",+2.79%,500,"775,710","234,000",4.21,"275,804",-66.65,-4.93
4,삼성바이오로직스,"1,037,000","하락 14,000",-1.33%,"2,500","738,074","71,174",12.98,"43,293",57.68,10.45
5,한화에어로스페이스,"913,000","상승 17,000",+1.90%,"5,000","470,774","51,563",43.73,"171,413",18.46,53.94
6,삼성전자우,"55,500",상승 600,+1.09%,100,"452,866","815,975",74.06,"1,211,606",10.75,N/A
7,KB금융,"114,700","상승 1,300",+1.15%,"5,000","437,537","381,462",77.75,"482,273",7.96,8.86
8,두산에너빌리티,"67,400","상승 2,600",+4.01%,"5,000","431,738","640,561",24.01,"8,920,111",-423.90,1.52
9,현대차,"208,500","하락 2,000",-0.95%,"5,000","426,920","204,758",35.92,"312,623",4.54,12.43
10,셀트리온,"181,400","상승 1,100",+0.61%,"1,000","403,481","222,426",21.55,"757,444",83.94,2.46
11,기아,"99,300",하락 500,-0.50%,"5,000","394,889","397,673",39.24,"282,560",4.24,19.09
12,NAVER,"240,000","하락 2,000",-0.83%,100,"380,249","158,437",44.61,"482,202",20.96,7.90
13,HD현대중공업,"425,750","상승 20,250",+4.99%,"5,000","377,952","88,773",11.00,"187,949",43.09,11.39
14,신한지주,"68,500",하락 400,-0.58%,"5,000","332,564","485,495",60.01,"566,567",7.52,8.11
15,삼성물산,"174,050",하락 350,-0.20%,100,"295,844","169,977",27.07,"241,625",13.90,6.83
16,현대모비스,"298,000","하락 5,000",-1.65%,"5,000","273,549","91,795",43.38,"114,702",6.57,9.35
17,POSCO홀딩스,"326,500","상승 15,500",+4.98%,"5,000","264,246","80,933",29.85,"476,832",31.74,2.00
18,삼성생명,"131,900","하락 3,700",-2.73%,500,"263,800","200,000",21.59,"211,774",12.44,6.18
