종목명,현재가,전일비,등락률,NAV,3개월수익률,거래량,거래대금(백만)
TIGER 미국S&P500,21770,30,-0.14,21772,18.0,3878274,84340
KODEX CD금리액티브(합성),1075000,75,0.01,1075012,0.66,144416,155246
KODEX 머니마켓액티브,103360,5,0.0,103365,0.74,327440,33842
KODEX 200,43020,670,-1.53,43029,32.33,7225336,312758
TIGER 미국나스닥100,142775,100,0.07,142911,25.01,257527,36747
TIGER CD금리투자KIS(합성),56317,7,0.01,56318,0.63,137661,7752
KODEX 미국S&P500,20035,25,-0.12,20040,18.01,3380191,67668
KODEX KOFR금리액티브(합성),110795,0,0.0,110795,0.66,347030,38450
KODEX 종합채권(AA-이상)액티브,118860,190,0.16,118831,-0.73,42829,5088
TIGER 미국테크TOP10 INDXX,25735,110,0.43,25776,33.6,1777926,45731
TIGER 200,42995,660,-1.51,42998,32.37,1864504,80782
KODEX 미국나스닥100,21470,10,0.05,21491,25.08,1343072,28815
KODEX 200TR,15340,230,-1.48,15334,32.45,444429,6857
TIGER KOFR금리액티브(합성),109295,5,0.0,109296,0.66,37663,4116
TIGER 미국필라델피아반도체나스닥,20855,180,-0.86,20954,48.79,1411393,29450
KODEX 레버리지,24570,765,-3.02,24697,72.41,26512869,661441
RISE 머니마켓액티브,54452,2,0.0,54452,0.74,169248,9216
ACE 미국30년국채액티브(H),7590,25,0.33,7591,-1.43,3085518,23424
KODEX CD1년금리플러스액티브(합성),1023355,50,0.0,1023216,0.67,7323,7494
ACE 미국S&P500,21995,35,-0.16,22008,17.91,780000,17144
TIGER 미국배당다우존스,11950,60,-0.5,11935,5.39,802164,9579
KODEX 코스닥150레버리지,9085,265,-2.83,9164,35.51,31527812,293301
TIGER 25-10 회사채(A+이상)액티브,55175,5,0.01,55184,0.69,107426,5927
ACE 미국나스닥100,24545,15,0.06,24576,25.07,512943,12581
TIGER 차이나전기차SOLACTIVE,9925,65,0.66,9962,7.88,1305450,12913
KODEX 단기채권PLUS,115030,15,0.01,115032,0.66,22928,2637
RISE 종합채권(A-이상)액티브,110405,245,0.22,110389,-0.77,1170,129
TIGER MSCI Korea TR,17815,325,-1.79,17833,30.55,11648,208
KODEX 200선물인버스2X,1335,41,3.17,1336,-43.62,316703279,416916
PLUS 고배당주,20335,15,-0.07,20332,38.02,1984690,40445
RISE 200,43275,700,-1.59,43276,32.39,516229,22549
KODEX 삼성그룹,9920,155,-1.54,9924,26.28,643880,6428
KODEX 코스닥150,13490,180,-1.32,13570,17.34,6453622,87889
ACE KRX금현물,21225,90,0.43,21219,-3.32,996130,21146
TIGER 25-12 금융채(AA-이상),51400,5,-0.01,51407,0.78,156,8
TIGER 미국30년국채커버드콜액티브(H),7895,40,0.51,7883,-0.1,1171269,9240
PLUS K방산,50325,1200,-2.33,50324,44.03,1552983,78549
SOL 조선TOP3플러스,26805,75,0.28,26826,31.06,4138281,110951
TIGER TOP10,13000,260,-1.96,13012,30.67,303279,3956
RISE 미국S&P500,18980,20,-0.11,18995,17.9,325064,6164
KODEX 2차전지산업,11910,210,-1.73,11926,15.23,3716212,44994
RISE 미국나스닥100,23760,20,0.08,23795,25.11,243520,5782
RISE CD금리액티브(합성),104305,5,0.0,104309,0.64,3387,353
TIGER 차이나항셍테크,8555,0,0.0,8555,9.05,1534339,13104
TIGER 종합채권(AA-이상)액티브,56965,115,0.2,56975,-0.78,9725,553
KODEX 25-12 은행채(AAA)액티브,103090,10,0.01,103085,0.7,1743,179
KIWOOM 200TR,55625,885,-1.57,55636,32.3,168900,9430
TIGER 미국배당다우존스타겟커버드콜2호,9580,70,-0.73,9565,2.93,288024,2759
SOL 종합채권(AA-이상)액티브,115170,110,0.1,115272,-0.73,2,0
TIGER CD1년금리액티브(합성),1049085,70,0.01,1049087,0.67,8450,8864
ACE 테슬라밸류체인액티브,15500,310,-1.96,15622,41.16,1043042,16202
TIGER 2차전지테마,14955,270,-1.77,14983,17.12,1345892,20494
TIGER 단기통안채,110887,2,0.0,110891,0.64,11757,1303
SOL 초단기채권액티브,53410,5,0.01,53412,0.78,113131,6042
ACE 종합채권(AA-이상)KIS액티브,108850,235,0.22,108818,-0.73,486,52
1Q 머니마켓액티브,52455,0,0.0,52454,0.74,39724,2083
KODEX Top5PlusTR,26740,490,-1.8,26775,34.14,18775,505
TIGER 미국30년국채스트립액티브(합성 H),37150,250,0.68,37149,-2.87,257951,9580
SOL 미국배당다우존스,10957,63,-0.57,10952,5.6,259287,2836
TIGER 미국나스닥100타겟데일리커버드콜,9955,20,-0.2,10000,24.01,542548,5406
KODEX 미국S&P500(H),14445,30,-0.21,14461,19.81,207595,3001
KODEX 25-11 은행채(AA-이상)PLUS액티브,10605,5,0.05,10602,0.76,14224,150
TIGER 단기채권액티브,55945,5,-0.01,55948,0.67,153486,8586
PLUS 200,43695,685,-1.54,43669,32.37,98330,4318
KODEX 200타겟위클리커버드콜,11155,165,-1.46,11151,28.03,2399368,26941
ACE 미국빅테크TOP7 Plus,18925,55,0.29,18959,32.33,391301,7399
KODEX 26-12 회사채(AA-이상)액티브,10835,5,-0.05,10838,0.84,25929,280
KODEX MSCI Korea TR,14165,225,-1.56,14175,30.17,1287,18
KODEX 인버스,3520,55,1.59,3521,-24.26,26690523,93050
TIGER 리츠부동산인프라,4250,15,-0.35,4244,2.38,1390068,5908
KODEX 미국빅테크10(H),52585,200,0.38,52651,35.31,116948,6165
KODEX 반도체,36315,840,-2.26,36368,26.99,551332,20265
KODEX 미국30년국채타겟커버드콜(합성 H),8505,20,0.24,8516,0.34,482405,4107
TIGER Fn반도체TOP10,11675,310,-2.59,11687,29.85,904951,10694
ACE 미국배당다우존스,12100,55,-0.45,12096,5.29,264246,3193
KIWOOM 국고채10년,116465,340,0.29,116448,-1.51,12995,1512
KODEX 미국30년국채액티브(H),8820,30,0.34,8818,-0.86,1350695,11926
KODEX 국고채30년액티브,121755,885,0.73,121719,-4.85,11254,1369
KODEX 단기채권,113695,5,0.0,113696,0.62,6894,783
TIMEFOLIO 글로벌AI인공지능액티브,30935,910,-2.86,30965,61.81,387557,12019
TIGER 은행고배당플러스TOP10,19980,95,-0.47,20005,43.77,1617977,32502
KODEX 국고채3년,62860,40,0.06,62862,0.13,10711,673
TIGER 200 IT,31845,780,-2.39,31874,32.25,26429,851
TIGER 미국달러SOFR금리액티브(합성),57780,35,-0.06,57830,-0.92,8205,473
